entity,type,start,end,weeks,intensity,peak
GoPro,COMP,2017-01-30,2018-04-16,64,56.7,2018-01-08
ETF Channel,ORG,2023-07-24,2023-12-11,21,56.7,2023-07-24
Lordstown Motors,COMP,2020-06-22,2021-06-14,52,56.7,2020-12-14
Wells Fargo,COMP,2019-09-09,2019-10-14,6,56.6,2019-09-09
Adobe Systems Incorporated,COMP,2017-06-19,2018-12-10,78,56.5,2017-06-19
MGM Resorts,COMP,2020-06-15,2021-08-23,63,56.5,2020-06-29
Earnings Per Share,ECON_INDICATOR,2019-01-21,2019-03-11,8,56.3,2019-02-18
trailing twelve month trading history,CONCEPT,2019-06-03,2020-05-11,50,56.2,2020-04-20
Москва,GPE,2016-12-26,2019-12-02,154,56.1,2017-01-16
Apple TV+,PRODUCT,2019-08-19,2020-11-02,64,56.0,2019-09-09
After Hours Session,EVENT,2017-01-02,2017-03-13,11,56.0,2017-01-02
Royal Dutch Shell,COMP,2019-12-09,2021-06-28,82,56.0,2020-05-11
U.S. Government,ORG/GOV,2020-02-17,2021-06-14,70,55.8,2020-11-09
Financial Sector,SECTOR,2019-12-09,2020-08-31,39,55.8,2020-08-31
Duke Energy Corporation,COMP,2017-03-27,2018-11-05,85,55.6,2017-10-30
Citigroup Inc.,COMP,2017-01-02,2017-10-09,41,55.5,2017-05-29
Shares Outstanding,ECON_INDICATOR,2019-04-01,2020-02-10,46,55.5,2019-04-01
Brookfield Infrastructure,COMP,2020-04-20,2021-12-13,87,55.3,2020-09-28
Nasdaq 100,SECTOR,2023-07-17,2023-11-27,20,55.2,2023-07-24
Hasbro,COMP,2019-04-22,2020-06-22,62,55.2,2019-07-22
U.S. stock index futures,FIN_INSTRUMENT,2020-03-30,2021-01-04,41,55.0,2020-07-06
iShares Russell 1000 Value ETF,FIN_INSTRUMENT,2023-01-23,2023-12-11,47,54.9,2023-07-24
Hulu,PRODUCT,2019-03-18,2020-02-17,49,54.9,2019-05-13
Anheuser-Busch InBev,COMP,2018-10-08,2021-01-25,121,54.9,2020-03-16
Alphabet,COMP,2022-12-26,2023-04-03,15,54.8,2023-01-09
Airbus,COMP,2020-04-06,2020-12-14,37,54.6,2020-12-07
Сирия,GPE,2017-01-09,2019-10-28,147,54.5,2019-10-14
AbbVie Inc.,COMP,2017-10-02,2018-03-26,26,54.5,2017-10-02
Revenue,ECON_INDICATOR,2019-11-11,2020-03-16,19,54.5,2020-03-09
Cash and Cash Equivalents,ECON_INDICATOR,2017-04-17,2019-03-04,99,54.3,2018-02-19
Nike,COMP,2019-02-11,2019-07-08,22,54.2,2019-06-24
Return on Equity,CONCEPT,2021-04-12,2022-01-10,40,54.0,2021-11-22
Financial Services,SECTOR,2017-01-02,2017-06-12,24,53.8,2017-04-10
Energy Select Sector SPDR ETF,FIN_INSTRUMENT,2019-04-15,2020-01-20,41,53.8,2019-07-08
Celanese Corporation,COMP,2017-09-11,2018-10-01,56,53.6,2018-01-29
NVIDIA,COMP,2023-05-22,2023-12-11,30,53.6,2023-05-29
Retail,SECTOR,2017-02-06,2018-03-19,59,53.6,2017-11-13
Snap Inc.,COMP,2017-02-13,2017-04-03,8,53.3,2017-02-27
Ethereum,PRODUCT,2021-11-22,2023-12-11,108,53.3,2022-07-18
iShares Trust,FIN_INSTRUMENT,2017-11-13,2019-04-15,75,53.2,2018-03-05
Economy,CONCEPT,2020-02-17,2021-02-01,51,53.2,2020-05-11
Earnings Surprise,CONCEPT,2018-01-22,2018-05-07,16,53.2,2018-04-23
Bloom Energy,COMP,2020-07-06,2021-05-10,45,53.1,2021-04-19
Forward P/E Ratio,ECON_INDICATOR,2022-01-10,2023-12-11,101,53.1,2023-12-11
NVIDIA,COMP,2019-11-11,2020-03-16,19,53.1,2020-03-16
Carnival,COMP,2020-03-09,2020-12-07,40,53.0,2020-08-31
ChatGPT,PRODUCT,2023-01-09,2023-12-04,48,53.0,2023-02-27
General Motors Company,COMP,2017-01-30,2018-04-23,65,52.6,2017-07-03
Vanguard S&P 500 ETF,FIN_INSTRUMENT,2023-07-17,2023-10-16,14,52.6,2023-07-24
Enterprise Products Partners L.P.,COMP,2017-01-23,2019-01-28,106,52.6,2017-12-04
Renewable Energy,SECTOR,2020-07-13,2021-03-08,35,52.5,2020-12-28
Brookfield Renewable,COMP,2020-07-20,2021-09-27,63,52.5,2020-12-21
Brookfield Asset Management,COMP,2019-11-18,2020-05-04,25,52.3,2020-03-02
Coronavirus Vaccine,PRODUCT,2020-01-27,2021-03-22,61,52.3,2020-05-04
Киев,GPE,2019-05-27,2019-12-09,29,52.3,2019-09-16
Electronic Arts,COMP,2020-01-13,2021-02-08,57,52.1,2020-06-15
Earnings Beat,CONCEPT,2018-01-22,2018-10-29,41,52.0,2018-01-29
Wal-Mart,COMP,2017-01-09,2018-01-15,54,51.9,2017-02-27
Dividend Yield,CONCEPT,2019-12-02,2020-03-23,17,51.8,2020-02-24
Invesco QQQ,FIN_INSTRUMENT,2023-01-23,2023-12-04,46,51.8,2023-09-18
eBay,COMP,2019-04-08,2020-07-20,68,51.7,2019-07-15
200 day moving average,CONCEPT,2019-04-01,2020-02-10,46,51.6,2019-05-06
trading day closing values,CONCEPT,2019-08-19,2021-10-11,113,51.6,2019-08-19
Amazon,COMP,2023-07-10,2023-07-31,4,51.6,2023-07-17
Saudi Arabia,GPE,2020-03-09,2020-05-11,10,51.6,2020-03-09
Amazon,COMP,2023-11-27,2023-12-11,3,51.5,2023-12-11
Hong Kong,GPE,2019-08-12,2021-04-26,90,51.5,2020-05-11
iShares Core S&P Small-Cap ETF,FIN_INSTRUMENT,2023-07-17,2023-11-20,19,51.3,2023-10-09
Tencent,COMP,2020-06-08,2020-08-31,13,51.2,2020-06-22
Nike,COMP,2019-09-23,2020-01-06,16,51.2,2019-09-23
State Street Global Advisors,ORG,2021-09-20,2023-11-20,114,51.1,2021-10-18
Booking Holdings,COMP,2019-06-03,2020-08-03,62,50.8,2019-08-26
United States,GPE,2020-04-06,2020-06-01,9,50.8,2020-04-27
ROCE,ECON_INDICATOR,2021-04-12,2022-10-17,80,50.8,2021-07-12
Restaurant Industry,SECTOR,2020-03-16,2020-06-29,16,50.8,2020-03-23
Revenues,ECON_INDICATOR,2018-07-16,2019-03-04,34,50.7,2018-07-30
Ron Gross,PERSON,2020-03-23,2021-01-11,43,50.7,2020-05-11
"Nasdaq, Inc.",ORG,2017-02-13,2019-02-04,104,50.7,2017-04-24
OrganiGram Holdings,COMP,2019-05-13,2020-11-02,78,50.7,2019-06-24
Cisco Systems,COMP,2019-08-05,2020-05-11,41,50.6,2020-04-20
Oil Prices,ECON_INDICATOR,2020-03-16,2020-09-28,29,50.6,2020-04-27
CrowdStrike,COMP,2020-06-01,2020-12-28,31,50.6,2020-08-03
Earnings Per Share,ECON_INDICATOR,2017-01-16,2017-02-27,7,50.4,2017-01-23
NIO,COMP,2020-07-13,2021-07-19,54,50.3,2021-07-12
United Airlines Holdings,COMP,2020-02-03,2021-04-05,62,50.2,2020-03-09
Marvell Technology,COMP,2022-10-03,2023-11-27,61,50.1,2023-11-27
Accenture plc,COMP,2018-04-02,2019-01-07,41,50.1,2018-12-17
China,GPE,2023-08-14,2023-09-11,5,50.1,2023-08-14
Investors,PERSON,2019-12-09,2020-03-23,16,49.9,2020-03-09
David Gardner,PERSON,2019-04-08,2019-07-15,15,49.9,2019-04-29
After Hours Session,EVENT,2018-04-30,2018-09-10,20,49.7,2018-09-10
Chevron,COMP,2020-03-02,2020-04-06,6,49.7,2020-03-23
COVID-19 Vaccine,PRODUCT,2020-03-09,2021-06-14,67,49.7,2020-08-10
Tencent Holdings,COMP,2018-11-12,2019-12-23,59,49.6,2019-12-16
Blackrock,ORG,2022-10-17,2023-12-11,61,49.5,2023-09-04
Information Technology Sector,SECTOR,2023-06-26,2023-12-11,25,49.5,2023-09-11
Dividend Stability,CONCEPT,2021-02-01,2021-12-06,45,49.4,2021-05-03
Under Armour Inc,COMP,2017-01-09,2018-02-26,60,49.4,2018-02-26
Vanguard,ORG,2023-07-24,2023-11-27,19,49.4,2023-08-28
SPY,FIN_INSTRUMENT,2017-01-02,2017-10-30,44,49.3,2017-04-03
T-Mobile,COMP,2020-09-28,2021-03-29,27,49.2,2020-10-26
Celgene,COMP,2017-12-18,2019-12-02,103,49.0,2018-03-19
Dividend Sustainability,CONCEPT,2020-10-26,2021-11-29,58,49.0,2021-08-02
S&P Global,COMP,2022-06-13,2023-12-04,78,49.0,2023-12-04
California,GPE,2020-03-16,2020-12-14,40,48.9,2020-06-15
Caterpillar,COMP,2019-06-10,2020-02-17,37,48.9,2019-06-10
Health Care Sector,SECTOR,2017-01-09,2018-07-16,80,48.8,2017-06-12
U.S. Federal Reserve,ORG/REG,2022-04-11,2022-10-17,28,48.8,2022-06-20
ETF,FIN_INSTRUMENT,2023-07-17,2023-12-11,22,48.8,2023-07-24
Israel,GPE,2023-10-09,2023-12-11,10,48.6,2023-10-09
Philip Morris International,COMP,2017-01-09,2018-02-12,58,48.6,2017-01-09
Dow Inc,COMP,2019-06-17,2020-11-09,74,48.6,2019-06-17
AT&T,COMP,2020-08-10,2020-11-09,14,48.6,2020-11-02
Healthcare,SECTOR,2023-07-17,2023-12-11,22,48.5,2023-10-16
Tesla,COMP,2021-01-04,2021-03-22,12,48.5,2021-01-25
Apple,COMP,2019-08-26,2019-09-23,5,48.5,2019-09-09
Technology Select Sector SPDR ETF,FIN_INSTRUMENT,2023-07-24,2023-11-20,18,48.4,2023-07-24
fuboTV,COMP,2020-11-30,2022-07-18,86,48.4,2021-01-11
Spotify,COMP,2020-01-20,2020-07-06,25,48.3,2020-02-03
Lemonade,COMP,2020-06-08,2021-05-31,52,48.2,2021-02-08
Dividend,FIN_INSTRUMENT,2017-08-07,2017-09-25,8,48.2,2017-09-11
Marijuana Industry,SECTOR,2018-08-06,2019-09-09,58,48.2,2019-04-15
Remote Work,CONCEPT,2020-03-09,2021-04-19,59,48.2,2020-08-31
Exxon Mobil Corporation,COMP,2017-01-23,2017-06-26,23,48.2,2017-03-06
Wagner Capital Management Corp,ORG,2017-01-16,2017-04-17,14,48.1,2017-01-16
Турция,GPE,2017-01-09,2019-11-25,151,48.1,2019-07-08
Boeing Co,COMP,2019-01-28,2019-04-15,12,48.1,2019-03-11
KKR & Co Inc,COMP,2020-05-04,2022-02-07,93,48.1,2021-10-11
Tellurian,COMP,2018-08-20,2020-03-09,82,48.1,2019-10-07
Invesco,ORG,2023-06-26,2023-12-04,24,47.9,2023-08-28
Price Target,ECON_INDICATOR,2020-10-19,2021-08-09,43,47.9,2020-11-02
Medical Sector,SECTOR,2017-01-16,2018-05-14,70,47.8,2017-03-13
Levered Beta,CONCEPT,2021-04-12,2022-10-10,79,47.8,2021-11-29
Facebook Inc,COMP,2020-04-13,2021-10-25,81,47.8,2020-10-26
Visa,COMP,2019-07-01,2019-09-09,11,47.8,2019-09-02
Roblox,COMP,2021-03-08,2021-11-29,39,47.8,2021-07-26
Capital One,COMP,2019-07-29,2020-05-04,41,47.7,2019-09-09
Pre-Market Session,EVENT,2018-07-16,2019-04-08,39,47.6,2018-10-08
Shopify,COMP,2019-09-09,2020-01-27,21,47.6,2020-01-27
Archer Aviation,COMP,2023-08-14,2023-12-11,18,47.4,2023-09-25
SolarEdge Technologies,COMP,2020-09-28,2021-09-27,53,47.4,2020-12-21
Walmart Inc,COMP,2019-12-02,2020-09-21,43,47.2,2019-12-02
Twilio,COMP,2019-12-23,2020-10-12,43,47.2,2019-12-23
Siemens,COMP,2020-09-28,2021-08-23,48,47.2,2020-09-28
Discount Rate,CONCEPT,2021-04-12,2022-10-10,79,47.1,2021-11-29
Emerging Markets,SECTOR,2017-01-30,2018-12-10,98,47.1,2018-08-06
CureVac,COMP,2020-06-15,2021-06-28,55,47.1,2020-08-24
CVS Health,COMP,2019-06-03,2021-01-11,85,47.1,2019-07-22
Alibaba,COMP,2020-09-21,2021-01-04,16,47.0,2020-11-09
Alibaba Group,COMP,2019-08-12,2020-01-06,22,46.9,2019-08-12
Cannabis Sector,SECTOR,2019-01-07,2020-01-13,54,46.9,2019-09-30
Slack,COMP,2020-03-09,2021-04-05,57,46.8,2020-09-14
Zoom Video Communications,COMP,2019-04-08,2019-06-10,10,46.7,2019-06-10
American Airlines Group Inc,COMP,2020-03-30,2020-11-23,35,46.7,2020-09-28
Dick's Sporting Goods,COMP,2019-03-04,2020-11-30,92,46.7,2020-11-23
Palantir Technologies,COMP,2020-09-28,2022-01-24,70,46.6,2022-01-17
JPMorgan,COMP,2018-05-21,2018-10-01,20,46.5,2018-09-24
Stock Market,FIN_INSTRUMENT,2020-11-09,2021-02-15,15,46.5,2020-11-30
Insider Trading Volume,CONCEPT,2020-10-26,2022-10-17,104,46.5,2021-05-10
Janet Yellen,PERSON,2020-11-23,2021-05-03,24,46.5,2021-02-01
Bumble,COMP,2021-01-18,2022-02-14,57,46.4,2021-01-18
Apollo Global Management Inc,COMP,2020-04-27,2021-06-07,59,46.4,2020-04-27
Донбасс,GPE,2019-04-22,2019-12-02,33,46.3,2019-06-03
Wall Street's main indexes,FIN_INSTRUMENT,2020-05-11,2020-11-02,26,46.3,2020-11-02
52 week range,CONCEPT,2019-05-06,2020-02-17,42,46.2,2019-09-23
Великобритания,GPE,2018-03-12,2019-10-28,86,46.2,2018-03-12
Okta,COMP,2019-03-04,2020-04-27,61,46.1,2019-05-20
Lyft,COMP,2019-02-18,2020-07-20,75,46.1,2020-06-01
Eric Cuka,PERSON,2022-06-06,2023-01-30,35,46.0,2022-06-06
Etsy,COMP,2020-05-04,2021-02-08,41,46.0,2020-09-07
Energy Sector,SECTOR,2019-11-04,2020-03-02,18,46.0,2020-01-13
CrowdStrike Holdings,COMP,2020-05-18,2022-12-26,137,46.0,2021-09-20
Invesco QQQ Trust,FIN_INSTRUMENT,2023-05-29,2023-12-04,28,46.0,2023-10-23
"W.W. Grainger, Inc.",COMP,2017-04-03,2019-01-21,95,45.8,2018-10-08
Nokia,COMP,2019-12-02,2020-03-16,16,45.8,2020-03-16
Dividend Stability,CONCEPT,2019-11-25,2020-03-02,15,45.8,2020-02-24
Brookfield Renewable Partners,COMP,2019-06-17,2021-03-08,91,45.6,2019-07-08
Rivian Automotive,COMP,2021-11-15,2023-12-11,109,45.6,2021-11-29
ARK Innovation ETF,FIN_INSTRUMENT,2020-12-28,2022-02-07,59,45.5,2021-05-24
Beyond Meat Inc,COMP,2020-04-20,2020-11-16,31,45.5,2020-05-04
Elon Musk,PERSON,2022-04-04,2022-11-07,32,45.4,2022-10-03
Alibaba,COMP,2021-07-19,2021-10-18,14,45.4,2021-07-26
AMD,COMP,2019-05-27,2020-03-02,41,45.4,2019-06-03
Sprint,COMP,2019-04-15,2020-03-23,50,45.4,2019-05-20
Walmart Inc.,COMP,2022-01-03,2023-02-13,59,45.3,2022-08-08
Earnings Per Share,ECON_INDICATOR,2022-03-14,2022-05-02,8,45.3,2022-03-14
Netflix,COMP,2019-06-10,2019-07-22,7,45.3,2019-07-08
Online Gambling,SECTOR,2020-06-22,2021-04-12,43,45.2,2020-06-29
Carnival Corp,COMP,2020-03-16,2020-12-28,42,45.1,2020-09-21
Meme Stocks,CONCEPT,2021-02-01,2021-09-27,35,45.1,2021-05-31
YouTube,PRODUCT,2019-02-11,2020-07-06,74,45.0,2020-02-10
TotalEnergies,COMP,2021-06-28,2023-04-10,94,45.0,2022-09-26
Tom Gardner,PERSON,2018-10-15,2021-05-31,138,45.0,2020-03-16
Marijuana Stocks,FIN_INSTRUMENT,2019-03-18,2020-11-30,90,45.0,2019-04-08
Dividend Expectation,CONCEPT,2021-02-01,2021-12-06,45,44.9,2021-03-01
США,GPE,2016-12-26,2017-08-21,35,44.8,2017-04-03
German DAX,FIN_INSTRUMENT,2017-06-26,2019-07-01,106,44.7,2019-04-01
Wells Fargo & Company,COMP,2017-01-09,2018-02-05,57,44.6,2017-05-08
SmileDirectClub,COMP,2019-07-22,2020-05-11,43,44.5,2020-01-06
FedEx Corporation,COMP,2017-06-12,2018-09-17,67,44.4,2018-04-16
Mastercard,COMP,2019-12-02,2020-08-03,36,44.4,2020-05-18
Paysafe,COMP,2021-01-04,2022-01-17,55,44.4,2021-04-12
Gilead Sciences Inc,COMP,2019-09-09,2021-05-17,89,44.4,2020-05-04
General Mills,COMP,2018-12-10,2020-04-13,71,44.3,2019-07-08
Costco Wholesale Corporation,COMP,2017-02-20,2017-12-11,43,44.3,2017-02-27
SpaceX,COMP,2019-05-13,2021-05-03,104,44.3,2021-02-08
Earnings Miss,CONCEPT,2022-01-10,2023-05-29,73,44.2,2022-01-17
Zoom,COMP,2020-03-16,2021-09-27,81,44.2,2020-04-06
Uber Technologies Inc,COMP,2020-04-06,2021-08-02,70,44.2,2020-04-06
Citigroup Inc,COMP,2020-01-20,2020-10-05,38,44.2,2020-09-28
Earnings,ECON_INDICATOR,2018-07-16,2018-09-17,10,44.1,2018-08-27
Apple Inc.,COMP,2017-02-27,2017-05-01,10,44.1,2017-03-20
Amazon.com,COMP,2019-04-15,2019-08-19,19,44.1,2019-08-19
Public Utilities Sector,SECTOR,2017-01-02,2019-02-04,110,44.1,2018-12-10
Market Capitalization,ECON_INDICATOR,2020-06-22,2021-12-20,79,44.1,2020-08-17
ARK Invest,ORG,2020-12-28,2021-11-01,45,44.0,2020-12-28
Comcast Corp.,COMP,2017-01-02,2018-03-19,64,44.0,2018-01-15
VanEck,ORG,2023-08-28,2023-11-27,14,43.9,2023-09-25
Vanguard Total Stock Market ETF,FIN_INSTRUMENT,2023-07-24,2023-11-06,16,43.9,2023-07-24
ASML Holding,COMP,2021-01-04,2023-01-02,105,43.9,2021-06-14
Valuation,CONCEPT,2021-01-18,2022-10-31,94,43.8,2021-09-06
US,GPE,2019-04-08,2020-08-03,70,43.6,2020-06-08
Taiwan Semiconductor Manufacturing,COMP,2022-07-11,2023-12-04,74,43.6,2022-11-14
PepsiCo,COMP,2020-09-14,2021-07-26,46,43.6,2020-11-16
Molson Coors,COMP,2018-06-18,2020-10-26,124,43.5,2018-06-25
Cannabis Market,SECTOR,2018-09-17,2020-03-30,81,43.5,2020-03-30
Semiconductors,SECTOR,2022-07-25,2022-11-14,17,43.5,2022-07-25
Meta,COMP,2023-04-24,2023-12-11,34,43.4,2023-04-24
Pinterest,COMP,2021-08-16,2021-11-08,13,43.4,2021-08-16
Silver (XAG/USD),PRODUCT,2023-08-21,2023-11-13,13,43.4,2023-10-09
Consumer Discretionary Sector,SECTOR,2022-02-07,2023-01-16,50,43.3,2022-07-04
Royal Caribbean,COMP,2020-03-23,2021-06-07,64,43.3,2020-05-18
U.S.,GPE,2020-03-16,2020-12-21,41,43.3,2020-07-27
iShares Expanded Tech Sector ETF,FIN_INSTRUMENT,2023-08-07,2023-12-11,19,43.0,2023-09-25
Uber,COMP,2019-04-01,2020-06-22,65,43.0,2020-04-06
Net Debt,ECON_INDICATOR,2021-04-05,2022-02-14,46,42.9,2021-06-21
QQQM,FIN_INSTRUMENT,2023-07-17,2023-12-11,22,42.9,2023-08-14
Meta Platforms Inc,COMP,2021-12-06,2023-11-27,104,42.9,2023-04-24
call contract,FIN_INSTRUMENT,2019-04-22,2020-06-15,61,42.9,2020-01-06
Grayscale Investments,COMP,2023-08-28,2023-08-28,1,42.9,2023-08-28
Newell Brands Inc.,COMP,2018-01-29,2019-03-18,60,42.9,2018-04-30
Insider Transactions,CONCEPT,2022-07-18,2022-10-24,15,42.8,2022-08-08
Supply Chain,CONCEPT,2021-07-19,2022-11-14,70,42.8,2021-12-20
Operation Warp Speed,EVENT,2020-06-01,2021-01-11,33,42.8,2020-06-01
Spanish Ibex Index,FIN_INSTRUMENT,2018-02-19,2019-07-01,72,42.8,2019-04-01
Delta Variant,EVENT,2021-07-12,2021-11-08,18,42.7,2021-07-26
Cleveland-Cliffs,COMP,2020-05-25,2021-11-29,80,42.7,2021-05-03
Apache Corporation,COMP,2017-03-27,2019-05-13,112,42.6,2017-07-31
iShares U.S. Consumer Goods ETF,FIN_INSTRUMENT,2019-03-25,2020-08-10,73,42.6,2019-04-15
Vanguard Value ETF,FIN_INSTRUMENT,2023-02-27,2023-11-27,40,42.6,2023-11-27
Strike Price,ECON_INDICATOR,2021-01-11,2021-09-13,36,42.6,2021-07-12
Earnings Per Share,ECON_INDICATOR,2018-04-09,2018-05-14,6,42.5,2018-05-07
Vaccine Development,SECTOR,2020-01-27,2021-03-22,61,42.5,2020-07-06
Broadcom,COMP,2023-08-07,2023-12-11,19,42.4,2023-09-18
Health Care Stocks,SECTOR,2017-10-23,2019-08-05,94,42.4,2019-07-01
Omicron,EVENT,2021-11-22,2022-04-11,21,42.4,2021-11-29
Nvidia,COMP,2019-06-17,2019-08-12,9,42.4,2019-06-24
Apple Inc,COMP,2020-03-30,2020-11-16,34,42.4,2020-06-22
Comcast Corporation,COMP,2017-10-30,2018-09-10,46,42.3,2018-03-26
ETFs,FIN_INSTRUMENT,2019-09-30,2020-01-20,17,42.3,2019-09-30
Dividend,FIN_INSTRUMENT,2017-04-24,2017-06-26,10,42.3,2017-06-05
iMGP DBi Managed Futures Strategy ETF,PRODUCT,2023-07-17,2023-11-20,19,42.3,2023-08-21
Insider Ownership,CONCEPT,2022-07-18,2022-10-24,15,42.2,2022-08-08
Climate Change,CONCEPT,2019-12-30,2021-07-12,81,42.2,2020-06-22
Walgreens Boots Alliance,COMP,2019-09-02,2020-04-13,33,42.1,2020-01-06
Energy Sector,SECTOR,2017-01-02,2017-03-06,10,42.1,2017-01-02
Schlumberger NV,COMP,2020-04-06,2021-08-23,73,42.0,2021-01-18
French CAC 40,FIN_INSTRUMENT,2017-08-21,2019-07-01,98,42.0,2019-04-01
Dividend Yield,CONCEPT,2023-04-24,2023-08-14,17,41.8,2023-06-26
Recession,CONCEPT,2020-03-09,2020-10-05,31,41.8,2020-03-09
Vaccines,PRODUCT,2020-04-06,2021-12-20,90,41.8,2020-04-06
Pinterest,COMP,2020-09-21,2021-03-29,28,41.8,2020-09-21
United States,GPE,2018-08-20,2018-10-08,8,41.7,2018-09-24
ExxonMobil Corporation,COMP,2017-07-24,2018-04-16,39,41.6,2017-10-23
HP,COMP,2019-03-04,2020-04-13,59,41.6,2019-05-27
ANGI Homeservices,COMP,2019-08-26,2020-11-02,63,41.6,2019-08-26
Vanguard Mega Cap Growth ETF,FIN_INSTRUMENT,2023-07-17,2023-12-04,21,41.6,2023-08-28
Ontario,GPE,2019-11-04,2020-07-27,39,41.5,2019-12-16
Chesapeake Energy,COMP,2019-06-24,2020-07-06,55,41.5,2019-12-16
Cryptocurrency,CONCEPT,2021-01-04,2021-12-13,50,41.5,2021-07-26
C3.ai,COMP,2022-11-28,2023-08-07,37,41.4,2023-04-10
Walt Disney Co,COMP,2020-04-06,2020-12-14,37,41.4,2020-08-03
Chipotle Mexican Grill,COMP,2020-03-09,2020-09-07,27,41.4,2020-07-13
Cisco,COMP,2019-05-06,2020-01-20,38,41.3,2019-12-09
AbbVie,COMP,2019-10-21,2020-03-30,24,41.3,2019-11-11
Impossible Foods,COMP,2020-02-24,2020-10-19,35,41.2,2020-08-31
Robinhood Markets,COMP,2021-07-26,2022-06-06,46,41.0,2021-09-13
Square,COMP,2020-10-19,2021-05-03,29,41.0,2021-05-03
Roche,COMP,2019-06-17,2020-10-05,69,40.9,2019-07-22
iQiyi,COMP,2018-04-09,2020-03-09,101,40.9,2019-11-25
Fisker,COMP,2020-07-27,2022-01-03,76,40.9,2021-07-26
Vertex Pharmaceuticals,COMP,2019-09-16,2020-05-18,36,40.8,2019-09-16
НАТО,ORG,2019-01-28,2019-12-02,45,40.8,2019-08-12
Splunk,COMP,2019-08-05,2020-10-19,64,40.8,2019-08-19
Materials Select Sector SPDR ETF,FIN_INSTRUMENT,2019-03-25,2020-02-03,46,40.7,2019-05-06
Wells Fargo & Co,COMP,2020-03-23,2021-01-18,44,40.6,2020-04-27
Jerome Powell,PERSON,2021-02-22,2021-08-23,27,40.6,2021-08-23
Discounted Cash Flow,CONCEPT,2021-04-12,2022-10-10,79,40.5,2021-05-10
Oracle Corporation,COMP,2017-01-02,2018-04-02,66,40.5,2017-09-11
Intel,COMP,2020-01-13,2020-03-09,9,40.5,2020-01-13
Construction Sector,SECTOR,2017-01-16,2019-01-07,104,40.4,2018-01-01
Tyson Foods,COMP,2018-01-15,2018-08-13,31,40.4,2018-01-15
Pre-Market Session,EVENT,2020-08-03,2021-02-01,27,40.4,2021-01-18
Bank of America Corporation,COMP,2017-01-02,2018-05-28,74,40.4,2017-03-13
Bank of America Corp,COMP,2017-02-27,2017-09-25,31,40.3,2017-07-10
Ericsson,COMP,2018-07-09,2018-09-03,9,40.3,2018-09-03
America Movil,COMP,2017-01-16,2018-07-16,79,40.2,2017-04-03
200 day moving average,CONCEPT,2017-01-02,2017-06-12,24,40.2,2017-01-09
Steel Industry,SECTOR,2017-01-09,2018-08-27,86,40.2,2017-01-16
Shareholder Dividends,CONCEPT,2019-12-16,2022-10-24,150,40.2,2021-03-01
P/E ratio,ECON_INDICATOR,2021-04-05,2022-07-25,69,40.2,2021-05-31
NetEase,COMP,2019-02-18,2019-12-30,46,40.1,2019-12-02
Amazon.com,COMP,2020-04-06,2020-07-27,17,40.1,2020-07-06
Union Pacific,COMP,2019-08-12,2020-10-12,62,40.0,2019-10-21
Electric Vehicle Industry,SECTOR,2021-09-27,2023-05-15,86,39.9,2022-09-12
Berkshire Hathaway,COMP,2021-02-15,2021-05-17,14,39.9,2021-05-17
Salesforce,COMP,2020-08-24,2020-09-21,5,39.9,2020-08-24
Toronto Stock Exchange,ORG,2020-04-06,2021-07-05,66,39.8,2020-06-01
iShares Core S&P Mid-Cap ETF,FIN_INSTRUMENT,2023-06-26,2023-12-11,25,39.8,2023-08-21
Dividend Aristocrats,CONCEPT,2019-08-05,2020-11-09,67,39.7,2019-09-09
PayPal,COMP,2020-04-13,2020-05-18,6,39.7,2020-05-11
Nasdaq-100,FIN_INSTRUMENT,2023-09-25,2023-11-27,10,39.7,2023-11-20
Technology Sector,SECTOR,2017-11-27,2018-01-08,7,39.7,2018-01-01
Earnings Per Share,ECON_INDICATOR,2017-04-17,2017-05-15,5,39.6,2017-04-24
Oracle Corp,COMP,2020-08-31,2021-06-14,42,39.6,2020-09-14
SPDR Portfolio S&P 500 ETF,FIN_INSTRUMENT,2023-01-30,2023-10-23,39,39.6,2023-04-03
Burlington Stores,COMP,2017-08-21,2020-03-09,134,39.6,2018-11-26
Coastline Trust Co,ORG,2017-01-16,2017-11-13,44,39.6,2017-01-16
iShares MSCI USA Quality Factor ETF,FIN_INSTRUMENT,2023-08-14,2023-12-11,18,39.6,2023-09-18
FDA,ORG/REG,2019-12-16,2020-11-23,50,39.6,2020-09-21
Fintel,ORG,2023-04-10,2023-10-23,29,39.5,2023-08-28
Cost of Equity,CONCEPT,2021-04-12,2022-10-10,79,39.5,2021-11-29
Dogecoin,PRODUCT,2021-03-22,2022-04-11,56,39.4,2021-03-22
Alternative Energy,SECTOR,2020-09-28,2021-05-03,32,39.4,2020-12-14
Discovery,COMP,2020-08-17,2021-08-16,53,39.4,2021-05-17
UBS,COMP,2020-04-20,2022-03-21,101,39.4,2022-03-21
Treasury Yields,ECON_INDICATOR,2023-07-17,2023-12-04,21,39.3,2023-09-11
"Advanced Micro Devices, Inc.",COMP,2017-04-24,2018-11-12,82,39.3,2018-04-23
Warner Bros. Discovery,COMP,2022-02-21,2023-03-13,56,39.3,2022-04-11
Booking Holdings,COMP,2018-02-26,2018-08-06,24,39.3,2018-06-04
Earnings Surprise,CONCEPT,2022-01-17,2022-05-02,16,39.2,2022-02-07
CARES Act,CONCEPT,2020-03-23,2020-12-14,39,39.2,2020-03-23
